Dia,Ganancias
01-02-2020,42000
02-02-2020,53000
03-02-2020,14000
04-02-2020,12000
05-02-2020,65000
06-02-2020,12000
07-02-2020,15000
08-02-2020,19000
09-02-2020,34000
10-02-2020,41000
11-02-2020,13000
12-02-2020,16000
13-02-2020,32000
14-02-2020,185500
15-02-2020,21000
16-02-2020,35500
17-02-2020,16500
18-02-2020,46000
19-02-2020,26500
20-02-2020,16500
21-02-2020,8000
22-02-2020,22000
23-02-2020,66000
24-02-2020,4000
25-02-2020,11500
26-02-2020,47500
27-02-2020,22000
28-02-2020,25000
29-02-2020,43500
01-03-2020,28500
02-03-2020,5000
03-03-2020,87000
04-03-2020,27500
05-03-2020,11000
06-03-2020,16000
07-03-2020,20500
08-03-2020,94500
09-03-2020,10500
10-03-2020,9000
11-03-2020,13000
12-03-2020,16500
13-03-2020,32000
14-03-2020,15000
15-03-2020,74000
16-03-2020,6000
17-03-2020,2000
18-03-2020,5000
19-03-2020,14500
20-03-2020,2000
21-03-2020,7000
22-03-2020,15500
23-03-2020,7000
24-03-2020,15000
25-03-2020,7500
26-03-2020,8000
27-03-2020,38000
28-03-2020,42000
29-03-2020,55500
30-03-2020,7000
31-03-2020,11500
01-04-2020,27000
02-04-2020,7000
03-04-2020,12000
04-04-2020,10000
05-04-2020,47000
06-04-2020,9000
07-04-2020,7500
08-04-2020,13500
09-04-2020,12000
10-04-2020,7000
11-04-2020,19000
12-04-2020,37500
13-04-2020,9500
14-04-2020,3000
15-04-2020,13000
16-04-2020,12000
17-04-2020,8000
18-04-2020,4500
19-04-2020,53500
20-04-2020,5500
21-04-2020,5000
22-04-2020,5500
23-04-2020,4500
24-04-2020,2000
25-04-2020,42000
26-04-2020,19000
27-04-2020,10000
28-04-2020,5000
29-04-2020,4000
30-04-2020,21000
01-05-2020,12000
02-05-2020,24500
03-05-2020,11000
04-05-2020,1000
05-05-2020,11400
06-05-2020,20000
07-05-2020,49000
08-05-2020,23000
09-05-2020,13500
10-05-2020,87500
11-05-2020,6200
12-05-2020,7500
13-05-2020,9500
14-05-2020,8000
15-05-2020,6000
16-05-2020,20000
17-05-2020,20500
18-05-2020,4500
19-05-2020,13500
20-05-2020,6000
21-05-2020,20500
22-05-2020,6500
23-05-2020,2400
24-05-2020,25500
25-05-2020,6500
26-05-2020,12000
27-05-2020,5000
28-05-2020,17500
29-05-2020,9000
30-05-2020,13500
31-05-2020,24500
01-06-2020,8000
02-06-2020,16000
03-06-2020,9000
04-06-2020,12000
05-06-2020,29000
06-06-2020,38500
07-06-2020,16500
08-06-2020,6000
09-06-2020,5500
10-06-2020,9000
11-06-2020,7000
12-06-2020,8000
13-06-2020,18000
14-06-2020,41000
15-06-2020,2000
16-06-2020,8500
17-06-2020,9000
18-06-2020,7500
19-06-2020,8000
20-06-2020,36500
21-06-2020,27000
22-06-2020,4500
23-06-2020,8000
24-06-2020,16000
25-06-2020,6000
26-06-2020,2500
27-06-2020,7000
28-06-2020,50000
29-06-2020,57500
30-06-2020,11000
01-07-2020,15500
02-07-2020,2500
03-07-2020,7500
04-07-2020,17500
05-07-2020,39000
06-07-2020,16000
07-07-2020,18500
08-07-2020,14000
09-07-2020,8500
10-07-2020,1000
11-07-2020,17500
12-07-2020,34000
13-07-2020,6500
14-07-2020,19000
15-07-2020,4500
16-07-2020,38000
17-07-2020,27000
18-07-2020,36000
19-07-2020,42000
20-07-2020,8000
21-07-2020,21000
22-07-2020,9000
23-07-2020,28000
24-07-2020,2500
25-07-2020,2500
26-07-2020,48500
27-07-2020,4000
28-07-2020,6500
29-07-2020,38000
30-07-2020,7000
31-07-2020,41000
01-08-2020,38000
02-08-2020,12000
03-08-2020,24000
04-08-2020,3500
05-08-2020,9000
06-08-2020,2500
07-08-2020,13000
08-08-2020,20000
09-08-2020,28000
10-08-2020,25000
11-08-2020,4000
12-08-2020,4500
13-08-2020,3000
14-08-2020,6000
15-08-2020,17000
16-08-2020,19000
17-08-2020,34500
18-08-2020,1500
19-08-2020,15500
20-08-2020,9000
21-08-2020,6000
22-08-2020,22500
23-08-2020,41000
24-08-2020,30000
25-08-2020,2000
26-08-2020,8000
27-08-2020,4000
28-08-2020,17000
29-08-2020,19500
30-08-2020,24000
31-08-2020,35500
01-09-2020,2500
02-09-2020,2500
03-09-2020,44500
04-09-2020,7500
05-09-2020,9500
06-09-2020,15000
07-09-2020,2000
08-09-2020,13500
09-09-2020,14000
10-09-2020,29000
11-09-2020,8000
12-09-2020,5500
13-09-2020,9000
14-09-2020,8000
15-09-2020,6000
16-09-2020,10000
17-09-2020,35000
18-09-2020,19000
19-09-2020,8500
20-09-2020,20000
21-09-2020,22000
22-09-2020,19000
23-09-2020,4500
24-09-2020,46500
25-09-2020,9500
26-09-2020,16500
27-09-2020,11500
28-09-2020,3000
29-09-2020,19000
30-09-2020,2500
01-10-2020,11000
02-10-2020,24000
03-10-2020,16500
04-10-2020,11000
05-10-2020,6000
06-10-2020,20000
07-10-2020,2500
08-10-2020,6000
09-10-2020,4500
10-10-2020,13500
11-10-2020,17000
12-10-2020,9000
13-10-2020,13500
14-10-2020,18000
15-10-2020,23500
16-10-2020,14000
17-10-2020,20000
18-10-2020,24000
19-10-2020,2000
20-10-2020,3000
21-10-2020,8500
22-10-2020,7000
23-10-2020,17000
24-10-2020,9000
25-10-2020,7000
26-10-2020,12000
27-10-2020,18000
28-10-2020,10500
29-10-2020,19000
30-10-2020,24000
31-10-2020,275500
01-11-2020,172000
02-11-2020,21000
03-11-2020,8000
04-11-2020,51000
05-11-2020,2000
06-11-2020,5000
07-11-2020,9000
08-11-2020,14500
09-11-2020,13000
10-11-2020,18000
11-11-2020,22000
12-11-2020,21000
13-11-2020,5000
14-11-2020,2000
15-11-2020,6000
16-11-2020,2000
17-11-2020,9000
18-11-2020,39000
19-11-2020,1500
20-11-2020,9000
21-11-2020,10000
22-11-2020,10000
23-11-2020,19500
24-11-2020,18500
25-11-2020,49000
26-11-2020,2000
27-11-2020,3000
28-11-2020,7000
29-11-2020,12000
30-11-2020,14000
01-12-2020,18000
02-12-2020,11000
03-12-2020,8000
04-12-2020,12500
05-12-2020,17000
06-12-2020,17500
07-12-2020,138000
08-12-2020,95000
09-12-2020,107000
10-12-2020,4000
11-12-2020,8000
12-12-2020,2000
13-12-2020,2500
14-12-2020,7500
15-12-2020,41000
16-12-2020,33000
17-12-2020,12000
18-12-2020,47000
19-12-2020,14000
20-12-2020,4500
21-12-2020,20500
